City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mabaruma,8.2,-59.78,77.23,86,99,2.3,GY,1601166301
mataura,-46.19,168.86,46.0,87,100,15.99,NZ,1601166500
bodaybo,57.85,114.19,44.46,85,100,5.57,RU,1601166500
berlevag,70.86,29.09,41.76,67,1,15.19,NO,1601166500
saldanha,-33.01,17.94,42.8,75,26,1.12,ZA,1601166259
seoul,37.57,126.98,69.8,60,1,4.83,KR,1601166258
bluff,-46.6,168.33,46.0,87,100,15.99,NZ,1601166218
tanta,30.79,31.0,67.44,90,0,3.4,EG,1601166501
namibe,-15.2,12.15,60.76,89,69,6.62,AO,1601166501
freeport,40.66,-73.58,70.0,88,90,9.17,US,1601166501
port lincoln,-34.73,135.87,55.33,62,2,14.0,AU,1601166502
shahr-e babak,30.12,55.12,57.83,29,0,6.82,IR,1601166502
sola,-13.88,167.55,86.0,70,75,8.05,VU,1601166502
kupang,-10.17,123.58,86.0,51,20,9.17,ID,1601166240
busselton,-33.65,115.33,52.0,100,90,4.27,AU,1601166502
provideniya,64.38,-173.3,37.47,72,65,11.52,RU,1601166503
sunrise manor,36.21,-115.07,99.0,7,1,6.93,US,1601166503
smoky lake,54.12,-112.47,55.99,51,96,4.0,CA,1601166503
chililabombwe,-12.36,27.82,61.52,38,0,2.33,ZM,1601166503
hami,42.8,93.45,53.8,40,1,12.62,CN,1601166503
arraial do cabo,-22.97,-42.03,73.74,85,0,22.75,BR,1601166504
princeton,25.54,-80.41,80.6,88,90,12.75,US,1601166337
oyama,36.3,139.8,66.2,82,75,3.36,JP,1601166504
upernavik,72.79,-56.15,28.89,92,100,5.99,GL,1601166504
saint-augustin,51.23,-58.65,47.79,65,100,11.16,CA,1601166505
pisco,-13.7,-76.22,64.99,82,3,13.87,PE,1601166505
atuona,-9.8,-139.03,78.28,74,1,13.56,PF,1601166505
kuliyapitiya,7.47,80.04,77.0,94,40,3.36,LK,1601166490
kihei,20.79,-156.47,87.8,48,40,16.11,US,1601166505
purpe,64.48,76.69,42.01,92,60,10.56,RU,1601166506
nanjing,32.06,118.78,69.8,94,0,8.95,CN,1601166506
bubaque,11.28,-15.83,81.3,81,62,12.28,GW,1601166506
baoro,5.67,15.97,67.08,93,100,2.46,CF,1601166506
manjacaze,-24.71,33.88,69.01,80,91,13.51,MZ,1601166507
merrill,45.18,-89.68,68.0,100,90,4.7,US,1601166507
east london,-33.02,27.91,55.53,54,3,17.16,ZA,1601166507
tailai,46.38,123.4,64.99,67,53,1.99,CN,1601166507
